features,label,sensitive_attribute
"44, White, Male,>50K",0, Male
"35, White, Female,<=50K",0, Female
"25, White, Female,<=50K",1, Female
"24, White, Female,>50K",1, Female
"22, White, Female,<=50K",1, Female
"42, White, Male,>50K",0, Male
"34, Black, Female,<=50K",1, Female
"60, White, Female,<=50K",1, Female
"21, White, Male,<=50K",1, Male
"57, White, Male,>50K",0, Male
"41, White, Male,>50K",1, Male
"50, White, Male,<=50K",0, Male
"25, White, Female,<=50K",0, Female
"50, White, Male,<=50K",0, Male
"36, White, Male,<=50K",1, Male
"31, White, Female,<=50K",0, Female
"29, White, Male,<=50K",0, Male
"21, White, Male,<=50K",1, Male
"27, Black, Female,<=50K",0, Female
"65, White, Male,<=50K",1, Male
"37, White, Female,<=50K",0, Female
"39, Asian-Pac-Islander, Female,<=50K",1, Female
"24, White, Male,<=50K",0, Male
"38, White, Male,<=50K",0, Male
"48, White, Male,>50K",1, Male
"21, Asian-Pac-Islander, Female,<=50K",1, Female
"31, White, Male,>50K",0, Male
"55, White, Male,>50K",1, Male
"24, Asian-Pac-Islander, Female,<=50K",0, Female
"43, White, Female,<=50K",1, Female
"26, White, Male,<=50K",1, Male
"46, White, Female,<=50K",0, Female
"35, White, Male,>50K",0, Male
"41, White, Male,>50K",1, Male
"26, White, Male,<=50K",0, Male
"34, Asian-Pac-Islander, Male,>50K",0, Male
"19, Black, Female,<=50K",0, Female
"36, Black, Female,>50K",0, Female
"22, White, Male,<=50K",1, Male
"24, White, Male,<=50K",0, Male
"77, White, Male,<=50K",0, Male
"22, White, Female,<=50K",1, Female
"29, White, Female,<=50K",1, Female
"62, White, Female,<=50K",0, Female
"39, White, Male,<=50K",1, Male
"43, White, Male,<=50K",1, Male
"35, White, Male,<=50K",1, Male
"29, White, Female,<=50K",1, Female
"76, White, Male,<=50K",1, Male
"63, White, Male,<=50K",0, Male
"23, Black, Female,<=50K",1, Female
"43, White, Female,>50K",0, Female
"58, White, Male,<=50K",0, Male
"66, White, Male,<=50K",1, Male
"41, Black, Male,<=50K",0, Male
"26, White, Male,<=50K",1, Male
"47, White, Male,<=50K",0, Male
"55, White, Male,<=50K",1, Male
"53, White, Male,<=50K",0, Male
"17, White, Male,<=50K",1, Male
"30, White, Male,<=50K",0, Male
"49, White, Male,<=50K",0, Male
"19, Black, Male,<=50K",1, Male
"45, Black, Male,<=50K",1, Male
"26, White, Male,<=50K",1, Male
"38, White, Male,>50K",0, Male
"36, White, Male,>50K",0, Male
"33, White, Male,<=50K",0, Male
"22, Black, Female,<=50K",0, Female
"43, White, Male,<=50K",0, Male
"67, White, Male,<=50K",0, Male
"30, White, Female,<=50K",0, Female
"56, White, Male,<=50K",0, Male
"31, White, Male,<=50K",0, Male
"33, White, Male,>50K",0, Male
"26, White, Male,<=50K",1, Male
"33, White, Male,>50K",0, Male
"46, White, Male,<=50K",0, Male
"59, White, Male,>50K",1, Male
"38, White, Male,>50K",1, Male
"65, Other, Male,<=50K",0, Male
"40, White, Male,>50K",0, Male
"42, White, Female,<=50K",1, Female
"26, White, Male,<=50K",0, Male
"36, White, Female,<=50K",0, Female
"62, White, Male,>50K",0, Male
"43, White, Male,<=50K",0, Male
"43, White, Male,>50K",1, Male
"22, White, Male,<=50K",0, Male
"28, White, Male,<=50K",1, Male
"56, White, Male,<=50K",1, Male
"22, White, Female,<=50K",0, Female
"57, White, Female,>50K",0, Female
"39, White, Female,<=50K",0, Female
"26, White, Female,<=50K",1, Female
"17, White, Male,<=50K",1, Male
"40, White, Male,>50K",1, Male
"45, Black, Male,<=50K",0, Male
"44, Black, Male,<=50K",1, Male
"20, White, Female,<=50K",0, Female
"33, White, Female,<=50K",1, Female
"23, White, Male,<=50K",1, Male
"46, White, Male,<=50K",0, Male
"38, White, Male,<=50K",0, Male
"54, White, Male,<=50K",1, Male
"46, White, Female,<=50K",1, Female
"25, White, Male,<=50K",1, Male
"46, White, Female,<=50K",1, Female
"36, White, Female,<=50K",0, Female
"23, White, Female,<=50K",0, Female
"29, White, Male,<=50K",0, Male
"44, White, Female,>50K",1, Female
"19, White, Female,<=50K",0, Female
"19, White, Female,<=50K",1, Female
"35, White, Female,>50K",1, Female
"27, White, Male,<=50K",0, Male
"46, White, Male,<=50K",0, Male
"34, White, Male,>50K",1, Male
"34, White, Female,<=50K",0, Female
"44, White, Male,<=50K",0, Male
"45, White, Female,<=50K",0, Female
"20, White, Female,<=50K",0, Female
"25, White, Male,>50K",1, Male
"52, White, Male,>50K",0, Male
"20, White, Male,<=50K",0, Male
"28, White, Female,<=50K",1, Female
"50, White, Male,>50K",0, Male
"34, White, Female,<=50K",0, Female
"28, Other, Male,<=50K",0, Male
"41, White, Male,>50K",0, Male
"28, White, Male,<=50K",1, Male
"46, White, Male,<=50K",0, Male
"28, White, Female,>50K",1, Female
"32, White, Male,<=50K",1, Male
"41, Black, Female,<=50K",0, Female
"24, Black, Female,<=50K",0, Female
"33, White, Female,<=50K",1, Female
"46, White, Male,>50K",1, Male
"31, White, Male,<=50K",1, Male
"35, White, Male,>50K",1, Male
"52, White, Male,<=50K",0, Male
"30, White, Female,<=50K",1, Female
"34, Black, Male,<=50K",1, Male
"34, White, Female,<=50K",1, Female
"20, White, Male,<=50K",1, Male
"17, White, Male,<=50K",0, Male
"32, White, Female,>50K",1, Female
"29, White, Male,<=50K",0, Male
"33, White, Female,<=50K",0, Female
"25, White, Male,<=50K",1, Male
"36, White, Male,<=50K",0, Male
"23, White, Male,<=50K",0, Male
"63, White, Male,>50K",1, Male
"47, White, Male,<=50K",0, Male
"80, White, Male,<=50K",0, Male
"17, White, Male,<=50K",0, Male
"40, White, Female,<=50K",0, Female
"30, White, Female,>50K",1, Female
"27, Asian-Pac-Islander, Male,<=50K",1, Male
"33, White, Male,>50K",0, Male
"34, Black, Male,<=50K",1, Male
"34, White, Female,<=50K",1, Female
"23, White, Male,<=50K",0, Male
"42, White, Female,<=50K",1, Female
"29, White, Male,<=50K",0, Male
"45, White, Female,<=50K",0, Female
"24, White, Male,<=50K",1, Male
"44, White, Male,>50K",1, Male
"27, White, Male,<=50K",0, Male
"20, White, Male,<=50K",1, Male
"44, Black, Female,<=50K",0, Female
"51, Amer-Indian-Eskimo, Male,<=50K",1, Male
"20, White, Male,<=50K",1, Male
"17, White, Female,<=50K",0, Female
"19, Black, Female,<=50K",1, Female
"45, White, Male,>50K",0, Male
"60, White, Male,>50K",1, Male
"42, Black, Male,>50K",0, Male
"44, White, Female,>50K",0, Female
"40, Asian-Pac-Islander, Male,>50K",0, Male
"30, White, Female,<=50K",1, Female
"38, Black, Male,<=50K",1, Male
"23, White, Male,<=50K",0, Male
"32, White, Male,<=50K",0, Male
"44, White, Male,<=50K",0, Male
"54, Black, Male,<=50K",0, Male
"32, White, Male,<=50K",1, Male
"50, White, Male,<=50K",1, Male
"24, White, Female,<=50K",1, Female
"37, White, Female,<=50K",0, Female
"52, White, Male,<=50K",0, Male
"38, White, Male,<=50K",1, Male
"49, White, Male,>50K",0, Male
"30, White, Female,>50K",1, Female
"60, White, Male,>50K",1, Male
"22, White, Male,<=50K",1, Male
"35, White, Male,<=50K",1, Male
"30, White, Male,<=50K",1, Male
"67, White, Female,<=50K",1, Female
"46, White, Female,<=50K",0, Female
"17, White, Male,<=50K",0, Male
"22, White, Male,<=50K",1, Male
"27, White, Male,<=50K",1, Male
"23, White, Female,<=50K",0, Female
"33, White, Male,<=50K",1, Male
"43, White, Male,<=50K",1, Male
"28, White, Male,<=50K",0, Male
"41, White, Female,<=50K",1, Female
"52, Black, Male,<=50K",1, Male
"25, Black, Female,<=50K",1, Female
"63, White, Male,<=50K",0, Male
"59, White, Male,<=50K",1, Male
"45, White, Female,<=50K",1, Female
"38, White, Male,>50K",1, Male
"40, White, Female,<=50K",0, Female
"46, White, Male,<=50K",0, Male
"35, White, Female,<=50K",0, Female
"34, White, Female,<=50K",1, Female
"33, White, Male,<=50K",0, Male
"41, White, Female,<=50K",0, Female
"20, White, Male,<=50K",0, Male
"23, White, Male,<=50K",0, Male
"26, White, Female,<=50K",1, Female
"72, White, Male,<=50K",0, Male
"23, White, Male,<=50K",0, Male
"62, White, Male,<=50K",1, Male
"52, White, Male,<=50K",0, Male
"58, White, Female,<=50K",0, Female
"25, White, Female,<=50K",0, Female
"24, Black, Male,<=50K",0, Male
"19, White, Male,<=50K",1, Male
"43, White, Male,<=50K",0, Male
"47, Black, Female,<=50K",1, Female
"39, White, Female,<=50K",1, Female
"49, White, Male,<=50K",0, Male
"53, Black, Female,<=50K",0, Female
"32, White, Male,<=50K",1, Male
"34, White, Male,>50K",1, Male
"28, White, Male,<=50K",0, Male
"57, White, Female,<=50K",1, Female
"25, Amer-Indian-Eskimo, Female,<=50K",1, Female
"20, White, Male,<=50K",1, Male
"21, White, Female,<=50K",1, Female
"34, White, Male,>50K",0, Male
"38, White, Male,>50K",1, Male
"50, White, Male,>50K",1, Male
"24, Black, Male,<=50K",0, Male
"37, White, Male,>50K",0, Male
"44, White, Male,>50K",1, Male
"28, White, Female,<=50K",0, Female
"42, White, Male,>50K",0, Male
"74, White, Female,<=50K",0, Female
"38, White, Male,<=50K",1, Male
"44, White, Male,<=50K",0, Male
"44, Other, Female,<=50K",0, Female
"26, White, Male,<=50K",0, Male
"36, Black, Male,<=50K",1, Male
"41, White, Female,>50K",1, Female
"67, White, Male,>50K",1, Male
"39, White, Male,<=50K",0, Male
"57, Black, Female,<=50K",0, Female
"29, White, Male,<=50K",1, Male
"31, White, Female,<=50K",1, Female
"34, Black, Female,<=50K",0, Female
"44, White, Male,<=50K",0, Male
"29, White, Male,<=50K",0, Male
"30, White, Female,<=50K",1, Female
"27, White, Male,<=50K",0, Male
"27, White, Male,<=50K",0, Male
"32, White, Female,<=50K",1, Female
"58, White, Female,<=50K",0, Female
"35, White, Male,<=50K",0, Male
"21, White, Male,<=50K",0, Male
"28, White, Male,<=50K",1, Male
"46, White, Male,<=50K",0, Male
"36, White, Female,<=50K",0, Female
"72, White, Female,<=50K",0, Female
"35, Black, Female,<=50K",0, Female
"33, Black, Female,>50K",0, Female
"69, White, Female,<=50K",0, Female
"35, White, Male,<=50K",0, Male
"31, White, Female,<=50K",0, Female
"34, White, Female,<=50K",0, Female
"30, White, Male,<=50K",1, Male
"28, White, Male,<=50K",1, Male
"54, White, Male,>50K",1, Male
"47, White, Male,>50K",0, Male
"24, Black, Female,<=50K",0, Female
"52, White, Male,>50K",0, Male
"20, Amer-Indian-Eskimo, Male,<=50K",1, Male
"43, White, Male,<=50K",1, Male
"45, White, Female,<=50K",1, Female
"29, White, Male,<=50K",0, Male
"47, White, Male,<=50K",1, Male
"24, White, Male,<=50K",0, Male
"51, White, Male,<=50K",0, Male
"17, White, Male,<=50K",1, Male
"37, White, Male,>50K",0, Male
"27, White, Female,<=50K",0, Female
"29, White, Male,>50K",1, Male
"18, White, Male,<=50K",0, Male
"36, White, Female,<=50K",0, Female
"58, White, Female,<=50K",0, Female
"26, White, Male,<=50K",1, Male
"65, White, Male,>50K",0, Male
"57, White, Male,>50K",0, Male
"59, White, Male,<=50K",0, Male
"27, White, Male,<=50K",1, Male
"31, White, Male,<=50K",1, Male
"21, White, Female,<=50K",0, Female
"29, White, Male,<=50K",1, Male
"18, White, Male,<=50K",1, Male
"52, White, Male,>50K",0, Male
"57, White, Male,<=50K",1, Male
"42, White, Male,<=50K",1, Male
"55, Asian-Pac-Islander, Female,<=50K",0, Female
"60, White, Male,>50K",1, Male
"31, White, Male,>50K",0, Male
"23, White, Female,<=50K",0, Female
"27, White, Male,<=50K",0, Male
"23, Amer-Indian-Eskimo, Female,<=50K",1, Female
"42, White, Male,>50K",1, Male
"25, White, Male,<=50K",0, Male
"49, White, Female,<=50K",0, Female
"32, White, Male,<=50K",1, Male
"19, White, Male,<=50K",1, Male
"60, White, Female,<=50K",0, Female
"42, White, Male,<=50K",0, Male
"35, White, Male,<=50K",1, Male
"48, Black, Female,<=50K",0, Female
"51, White, Male,>50K",1, Male
"29, Amer-Indian-Eskimo, Male,<=50K",0, Male
"36, Black, Male,<=50K",1, Male
"17, White, Female,<=50K",1, Female
"52, White, Female,<=50K",0, Female
"24, White, Male,<=50K",1, Male
"24, White, Male,<=50K",0, Male
"26, White, Male,<=50K",0, Male
"27, White, Female,<=50K",1, Female
"39, White, Male,<=50K",0, Male
"30, Black, Male,<=50K",1, Male
"50, White, Male,<=50K",1, Male
"52, White, Male,<=50K",1, Male
"46, White, Male,>50K",1, Male
"23, White, Female,<=50K",1, Female
"45, Black, Female,<=50K",0, Female
"65, Black, Female,<=50K",1, Female
"29, White, Male,<=50K",0, Male
"47, White, Male,<=50K",0, Male
"30, Black, Male,<=50K",1, Male
"34, White, Male,>50K",1, Male
"38, White, Male,<=50K",1, Male
"33, White, Male,>50K",1, Male
"49, White, Male,>50K",0, Male
"47, Black, Female,<=50K",0, Female
"49, Black, Female,<=50K",0, Female
"43, White, Male,>50K",1, Male
"30, Black, Female,>50K",0, Female
"58, White, Male,<=50K",0, Male
"19, White, Female,<=50K",1, Female
"21, White, Male,<=50K",1, Male
"33, White, Male,>50K",0, Male
"47, White, Male,<=50K",0, Male
"52, White, Male,>50K",1, Male
"26, White, Male,<=50K",0, Male
"60, White, Male,<=50K",0, Male
"21, White, Male,<=50K",0, Male
"36, White, Male,>50K",1, Male
"31, White, Male,<=50K",1, Male
"50, White, Male,>50K",0, Male
"31, White, Female,<=50K",0, Female
"71, White, Male,<=50K",0, Male
"58, White, Male,<=50K",0, Male
"30, White, Male,>50K",0, Male
"20, White, Male,<=50K",1, Male
"24, White, Male,<=50K",0, Male
"35, Asian-Pac-Islander, Male,>50K",0, Male
"38, White, Female,<=50K",0, Female
"27, White, Female,<=50K",0, Female
"29, Asian-Pac-Islander, Female,<=50K",0, Female
"70, White, Female,<=50K",0, Female
"34, White, Male,<=50K",0, Male
"44, White, Male,<=50K",1, Male
"43, White, Male,>50K",0, Male
"44, Black, Male,>50K",1, Male
"35, White, Male,<=50K",1, Male
"27, White, Male,<=50K",1, Male
"43, White, Male,<=50K",1, Male
"20, White, Female,<=50K",0, Female
"42, White, Female,>50K",0, Female
"27, White, Male,<=50K",1, Male
"42, Black, Male,>50K",0, Male
"20, Asian-Pac-Islander, Female,<=50K",0, Female
"24, White, Male,<=50K",0, Male
"48, White, Male,<=50K",1, Male
"17, White, Female,<=50K",0, Female
"17, White, Male,<=50K",0, Male
"33, White, Male,>50K",1, Male
"50, White, Male,>50K",1, Male
"22, White, Female,<=50K",1, Female
"17, White, Male,<=50K",0, Male
"32, White, Male,<=50K",0, Male
"31, White, Male,<=50K",0, Male
"58, White, Male,<=50K",0, Male
"29, White, Male,<=50K",1, Male
"37, White, Male,>50K",0, Male
"34, White, Male,>50K",0, Male
"23, Black, Male,<=50K",1, Male
"18, White, Female,<=50K",0, Female
"34, White, Female,<=50K",1, Female
"66, White, Male,<=50K",0, Male
"45, White, Female,<=50K",0, Female
"41, White, Male,<=50K",0, Male
"26, White, Male,<=50K",1, Male
"54, White, Male,<=50K",0, Male
"24, Black, Female,<=50K",1, Female
"42, White, Male,<=50K",1, Male
"20, White, Male,<=50K",1, Male
"23, White, Female,<=50K",1, Female
"25, White, Male,<=50K",0, Male
"35, White, Male,>50K",1, Male
"31, White, Male,>50K",0, Male
"30, White, Female,<=50K",1, Female
"19, White, Female,<=50K",1, Female
"36, White, Male,<=50K",1, Male
"31, White, Female,<=50K",0, Female
"21, White, Male,<=50K",1, Male
"31, White, Male,<=50K",1, Male
"46, White, Female,>50K",1, Female
"44, White, Female,>50K",0, Female
"40, Black, Male,<=50K",0, Male
"45, Black, Male,<=50K",1, Male
"60, White, Male,<=50K",1, Male
"18, White, Male,<=50K",0, Male
"28, White, Male,<=50K",0, Male
"36, Black, Female,<=50K",1, Female
"36, White, Male,<=50K",0, Male
"40, White, Male,<=50K",0, Male
"36, White, Female,<=50K",1, Female
"31, Black, Female,<=50K",0, Female
"33, White, Male,<=50K",1, Male
"19, White, Female,<=50K",1, Female
"22, White, Female,<=50K",1, Female
"34, White, Male,>50K",1, Male
"33, White, Male,<=50K",0, Male
"41, White, Male,<=50K",1, Male
"29, White, Male,<=50K",0, Male
"50, White, Male,>50K",0, Male
"42, White, Male,>50K",0, Male
"43, White, Male,>50K",0, Male
"44, White, Female,<=50K",0, Female
"20, White, Female,<=50K",0, Female
"31, White, Male,<=50K",1, Male
"65, White, Male,>50K",0, Male
"23, White, Female,<=50K",0, Female
"55, Asian-Pac-Islander, Female,<=50K",1, Female
"26, White, Male,<=50K",0, Male
"25, White, Female,<=50K",1, Female
"45, Black, Female,<=50K",0, Female
"35, White, Male,<=50K",0, Male
"36, Black, Female,<=50K",0, Female
"43, White, Male,<=50K",0, Male
"56, Black, Female,<=50K",0, Female
"42, White, Male,>50K",1, Male
"19, White, Female,<=50K",1, Female
"55, White, Male,<=50K",0, Male
"42, White, Female,>50K",0, Female
"26, White, Male,<=50K",0, Male
"17, White, Male,<=50K",1, Male
"42, White, Female,>50K",0, Female
"55, White, Male,>50K",1, Male
"32, Black, Female,<=50K",0, Female
"29, Black, Male,<=50K",1, Male
"46, White, Male,<=50K",0, Male
"29, White, Male,>50K",0, Male
"22, White, Male,<=50K",1, Male
"58, White, Male,<=50K",0, Male
"23, White, Male,<=50K",0, Male
"39, White, Male,<=50K",0, Male
"27, White, Male,<=50K",0, Male
"54, White, Male,>50K",0, Male
"33, White, Female,<=50K",1, Female
"46, White, Female,>50K",0, Female
"37, Black, Male,<=50K",0, Male
"36, White, Female,<=50K",0, Female
"59, White, Female,>50K",0, Female
